work_orders,Process_numbers,section_names,status,working_hours,priority
FA2302170190,10,M,2,4,1
FA2303010117,1,G,2,1,2
FA2211130095,3,MC,2,4.9078,3
FA2302280022,3,H,2,72,4
FA2302280063,3,H,2,72,5
FA2302260035,5,ES,2,15.9069,6
FA2303050029,3,H,2,72,7
FA2303050030,3,H,2,72,8
FA2302190112,12,WE,2,12.656,9
FA2303050080,1,G,2,1.5,10
FA2302260043,3,H,2,72,11
FA2302280067,3,H,2,72,12
FA2303060051,3,G,2,1,13
FA2302160755,12,CNC,2,0.3411,14
FA2303020321,1,WE,2,2,15
FA2301170202,5,CNC,2,4.3195,16
FA2302280043,6,WE,2,1.5,17
FA2303070051,6,GP,2,10.15,18
FA2302010222,7,G,2,15.9969,19
FA2302200374,9,CNC,2,8.3503,20
FA2211100182,10,ES,2,30,21
FA2302050059,11,ES,2,40,22
FA2211130087,14,ES,2,29.8605,23
FA2302050239,2,M,2,1.8,24
FA2303080088,2,CNC,2,4,25
FA2302050237,3,H,2,72,26
FA2303080042,3,ES,2,1.5,27
FA2302280134,4,H,2,72,28
FA2303020384,5,CNC,2,2,29
FA2301170205,7,CNC,2,10,30
FA2302030070,8,CNC,2,4.0522,31
FA2301120421,1,G,2,1.8294,32
FA2303070035,3,ES,2,15.1078,33
FA2303070175,4,G,2,10.3122,34
FA2302050106,6,CNC,2,9,35
FA2302050289,11,ES,2,45.3906,36
FA2302050290,11,ES,2,58.6577,37
FA2302190197,11,EP,2,4.9936,38
FA2303100086,1,ES,2,3.5,39
FA2303070132,3,ES,2,1.5,40
FA2303040032,7,ES,2,1.8063,41
FA2302190120,10,CNC,2,11,42
FA2303110046,2,M,2,11.2311,43
FA2303110050,2,M,2,2.3336,44
FA2303130391,3,WE,2,15,45
FA2302190116,5,CNC,2,1.2275,46
FA2302050209,7,ES,2,20.415,47
FA2302050292,8,CNC,2,4.0609,48
FA2303100066,2,G,2,3.9456,49
FA2303110023,2,CNC,2,4,50
FA2303130024,2,WE,2,6.1917,51
FA2303130390,3,WE,2,5,52
FA2302050132,6,ES,2,0.7761,53
FA2303100119,1,MC,2,5,54
FA2303100120,1,MC,2,4.5839,55
FA2303110134,1,GP,2,0.5008,56
FA2303120063,1,WE,2,1.6492,57
FA2302190090,2,M,2,5.0014,58
FA2303100117,2,CNC,2,2.5,59
FA2303120007,2,ES,2,6,60
FA2303130023,2,M,2,1.5,61
FA2302280157,4,H,2,72,62
FA2302120011,8,WE,2,12.1042,63
FA2302190111,14,ES,2,66.2342,64
FA2303130489,1,ES,2,4.7033,65
FA2303130490,1,ES,2,2.4383,66
FA2302190047,2,M,2,2.5,67
FA2302220142,2,M,2,2,68
FA2302190067,3,H,2,72,69
FA2302190068,3,H,2,72,70
FA2302190076,3,H,2,72,71
FA2302190080,3,H,2,72,72
FA2302190091,3,H,2,72,73
FA2302190099,3,H,2,72,74
FA2302190100,3,H,2,72,75
FA2302190039,4,M,2,3.743,76
FA2302200069,4,G,2,1,77
FA2302200064,5,CNC,2,1.5,78
FA2302200063,6,EP,2,1,79
FA2302220278,6,CNC,2,11.4464,80
FA2302190119,15,ES,2,60.1028,81
FA2303130424,2,M,2,1.5,82
FA2303120002,3,WE,2,6.063,83
FA2303130406,3,GP,2,2.7939,84
FA2302280243,8,CNC,2,10.0753,85
FA2212010295,11,ES,2,34.0276,86
FA2302080335,3,WE,2,7.5,87
FA2302220378,5,H,2,72,88
FA2302220277,7,CNC,2,12,89
FA2303130416,1,ES,2,1.4697,90
FA2303020367,3,GP,2,10,91
FA2302180437,7,WE,2,3,92
FA2302280156,7,H,2,72,93
FA2302190177,3,H,2,72,94
FA2302190185,3,H,2,72,95
FA2303050034,3,H,2,72,96
FA2302280313,5,CNC,2,10.2634,97
FA2303050085,3,WE,2,6.2822,98
FA2303030020,2,GD,2,2.7369,99
FA2303030009,2,GD,2,3.6078,100
FA2303020375,3,WE,2,3.1909,101
FA2303110049,2,M,2,7.9884,102
FA2303110053,2,M,2,7.9875,103
FA2303020369,3,GP,2,9,104
FA2302280155,5,ES,2,1.2597,105
FA2303060109,3,M,2,4.0772,106
FA2303060105,3,H,2,72,107
FA2303060108,4,G,2,2.2528,108
FA2303100137,2,EP,2,1,109
FA2303110036,3,WE,2,7,110
FA2303110037,3,WE,2,7,111
FA2303010145,1,M,2,14.3028,112
FA2303010146,1,M,2,7.705,113
FA2210270032,1,M,2,17.9972,114
FA2211300097,1,EM,2,4.2842,115
FA2302110041,1,G,2,9.252,116
FA2301180033,2,G,2,2.5366,117
FA2302220053,2,G,2,5.4927,118
FA2012030192,1,RM,1,0.5,119
FA2202220017,2,CNC,1,0.5,120
FA2202220018,2,CNC,1,0.5,121
FA2202220016,3,CNC,1,2,122
FA2204220006,3,CNC,1,1.5,123
FA2204140147,7,MC,1,0.1,124
FA2302230078,2,CNC,1,2.5,125
FA2302210073,7,CNC,1,20,126
FA2302210074,7,CNC,1,20,127
FA2303070178,2,M,1,11,128
FA2303020013,1,EM,1,0.8,129
FA2303030080,1,GP,1,2,130
FA2303040011,1,EM,1,1,131
FA2303040035,1,AW,1,2,132
FA2303040036,1,AW,1,2,133
FA2303040056,1,AW,1,1,134
FA2302210098,2,M,1,1.8,135
FA2303050032,2,M,1,5,136
FA2302210099,3,G,1,2,137
FA2302210100,3,G,1,2,138
FA2303010120,3,EM,1,1,139
FA2303010097,1,GP,1,3,140
FA2303030107,1,MC,1,2.5,141
FA2303030108,1,MC,1,2.5,142
FA2210300045,2,M,1,3,143
FA2210300046,2,M,1,6,144
FA2302280018,2,M,1,1.5,145
FA2303070174,2,M,1,4,146
FA2303010065,3,ES,1,1.3,147
FA2301030075,4,G,1,2.8,148
FA2302230067,4,G,1,2,149
FA2302210104,5,WE,1,1.2,150
FA2302230071,7,CNC,1,2.5,151
FA2302140338,1,BD,1,1,152
FA2302280035,1,G,1,1,153
FA2303030023,1,AW,1,0.3,154
FA2303070164,1,EM,1,1.5,155
FA2212301798,2,BD,1,3,156
FA2302120121,4,G,1,6,157
FA2302230076,4,G,1,1.5,158
FA2302280040,4,G,1,3.5,159
FA2302280041,4,G,1,3.5,160
FA2302240424,5,M,1,0.6,161
FA2302240425,5,M,1,0.6,162
FA2211030009,7,M,1,1,163
FA2302230072,7,ES,1,3,164
FA2302020182,10,G,1,0.3,165
FA2302270214,1,AW,1,0.8,166
FA2302280079,1,AW,1,1,167
FA2302280082,1,AW,1,0.6,168
FA2303010132,1,AW,1,1.5,169
FA2303010134,1,EM,1,2,170
FA2303010136,1,AW,1,1,171
FA2303040048,1,EM,1,3,172
FA2303040049,1,EM,1,3,173
FA2303040050,1,EM,1,3,174
FA2303040051,1,EM,1,3,175
FA2303050049,1,AW,1,1,176
FA2303050081,1,G,1,1.5,177
FA2303060022,1,G,1,1.5,178
FA2303060046,1,AW,1,0.4,179
FA2303060047,1,AW,1,0.6,180
FA2303060052,1,AW,1,0.5,181
FA2303060053,1,AW,1,0.5,182
FA2303060054,1,AW,1,0.5,183
FA2303060055,1,AW,1,0.5,184
FA2303060056,1,AW,1,0.9,185
FA2303060057,1,AW,1,0.5,186
FA2303060058,1,AW,1,0.5,187
FA2303060059,1,AW,1,0.8,188
FA2303060060,1,AW,1,0.5,189
FA2302250100,2,AW,1,1.5,190
FA2302280072,2,M,1,1.5,191
FA2302280078,2,AW,1,0.6,192
FA2302280081,2,AW,1,0.6,193
FA2303050042,2,G,1,2,194
FA2303060050,2,G,1,1,195
FA2302170581,3,GP,1,2.5,196
FA2302170582,3,GP,1,2.5,197
FA2212190179,4,ES,1,2.5,198
FA2302090164,4,G,1,1.5,199
FA2302090165,4,G,1,1.5,200
FA2302090167,4,G,1,1.5,201
FA2302060159,5,G,1,3,202
FA2302060233,5,G,1,3,203
FA2302260038,5,EP,1,0.3,204
FA2301170203,7,CNC,1,32,205
FA2302200458,8,GP,1,4,206
FA2301170027,1,MC,1,3,207
FA2302020114,1,AW,1,1,208
FA2302030071,1,AW,1,1,209
FA2302230114,1,AW,1,0.5,210
FA2302240026,1,G,1,1,211
FA2302250087,1,AW,1,0.4,212
FA2302250088,1,AW,1,0.5,213
FA2302250089,1,AW,1,0.5,214
FA2302250090,1,M,1,1.3,215
FA2302250091,1,AW,1,0.3,216
FA2302250099,1,EM,1,1.5,217
FA2302270215,1,AW,1,0.4,218
FA2302270217,1,AW,1,0.5,219
FA2302270261,1,AW,1,0.5,220
FA2302270274,1,EM,1,1,221
FA2302270292,1,AW,1,0.3,222
FA2302270295,1,AW,1,1.5,223
FA2302270296,1,AW,1,1.5,224
FA2302280083,1,AW,1,0.5,225
FA2302280084,1,AW,1,0.5,226
FA2302280085,1,AW,1,0.5,227
FA2302280086,1,AW,1,0.5,228
FA2302280087,1,AW,1,0.5,229
FA2302280088,1,EM,1,0.4,230
FA2302280089,1,AW,1,0.5,231
FA2303020040,1,MC,1,2,232
FA2303020041,1,MC,1,2,233
FA2303020323,1,AW,1,0.5,234
FA2303060067,1,G,1,1.5,235
FA2303060068,1,G,1,1.5,236
FA2303060069,1,G,1,1.5,237
FA2303070013,1,ES,1,10,238
FA2303080086,1,AW,1,1,239
FA2301040009,2,M,1,2,240
FA2301280044,2,G,1,1,241
FA2302080010,2,G,1,2,242
FA2302150133,2,G,1,8,243
FA2302160039,2,ES,1,2,244
FA2302210067,2,G,1,6,245
FA2302270211,2,M,1,2,246
FA2303010102,2,G,1,0.8,247
FA2303020039,2,BD,1,3.5,248
FA2303050072,2,G,1,0.8,249
FA2303050073,2,G,1,1.2,250
FA2211110086,3,M,1,0.5,251
FA2301140211,3,M,1,1,252
FA2301140212,3,M,1,1,253
FA2302280080,3,ES,1,3,254
FA2303070052,4,GP,1,11,255
FA2303080121,4,G,1,1.5,256
FA2211210144,5,M,1,1.3,257
FA2211210148,5,M,1,1,258
FA2302250050,5,ES,1,2,259
FA2211280013,6,M,1,1,260
FA2302190198,8,CNC,1,31,261
FA2301310329,9,M,1,0.8,262
FA2212010294,13,CNC,1,78,263
FA2302150124,1,M,1,1.5,264
FA2302150127,1,AW,1,0.8,265
FA2302150130,1,G,1,5,266
FA2302150131,1,G,1,5,267
FA2302150132,1,G,1,5,268
FA2302160050,1,AW,1,2,269
FA2302160051,1,AW,1,2,270
FA2302200468,1,AW,1,4,271
FA2302220241,1,AW,1,3,272
FA2303010084,1,EM,1,2.5,273
FA2303030049,1,AW,1,0.5,274
FA2303030051,1,AW,1,0.5,275
FA2303030121,1,G,1,1.5,276
FA2303030122,1,G,1,1.5,277
FA2303040027,1,AW,1,0.6,278
FA2303040028,1,AW,1,0.6,279
FA2303040047,1,AW,1,1,280
FA2303040052,1,M,1,1,281
FA2303040053,1,M,1,1.5,282
FA2303070021,1,AW,1,3,283
FA2303070022,1,EM,1,1.5,284
FA2303070068,1,AW,1,1.5,285
FA2303070069,1,AW,1,3,286
FA2303070072,1,M,1,3,287
FA2303070073,1,AW,1,1,288
FA2303070080,1,AW,1,0.8,289
FA2303070085,1,G,1,18,290
FA2303070086,1,G,1,4,291
FA2303070088,1,AW,1,0.6,292
FA2303070089,1,AW,1,0.6,293
FA2303080049,1,CNC,1,2.5,294
FA2303080171,1,MC,1,3.8,295
